Date,Day,Origin,Group,Mark,Sex,Fish_ID,Notes,Tot_Dist_cm,Velocity_Mean_cm_s,High_Zone_Dur,Mid_Zone_Dur,Low_Zone_Dur,Freezing_Dur,Arena_Dur
2/03/2020,Monday,MA,Maternal,Red._,female,a9848,,945.819,2.14959,23.52,49.76,366.8,26.8,440.08
2/03/2020,Monday,MA,Maternal,Bro.Pin,male,a9793,,13.8289,0.0314294,0,0,440.08,435.68,440.08
2/03/2020,Monday,MA,Maternal,_.Gre,male,a9803,,1901.75,4.32217,37.68,116.72,285.68,16.88,440.08
2/03/2020,Monday,MA,Maternal,Pin.Ora,male,a9858,,687.686,1.56292,0,0,440.08,111.04,440.08
2/03/2020,Monday,MA,Maternal,Yel._,male,a9763,,27.2418,0.0619132,0,0,440.08,414.64,440.08
2/03/2020,Monday,WTB,Within_Treatment,Gre.Pur,male,a10043,,1871.71,4.25388,83.6,79.84,276.64,0.4,440.08
2/03/2020,Monday,WTB,Within_Treatment,Ora.Ora,female,a10060,,2731.25,6.20739,198.16,108.08,133.84,0.08,440.08
2/03/2020,Monday,WTB,Within_Treatment,_.Blu,female,a10040,,1832.56,4.1649,40.16,129.76,270.16,0.08,440.08
2/03/2020,Monday,WTB,Within_Treatment,Whi.Bro,female,a10159,,2094.86,4.76105,167.52,48.72,223.84,0.72,440.08
2/03/2020,Monday,WTB,Within_Treatment,Yel.Yel,female,a10097,Jumped,2102.91,4.77933,127.12,66.88,246.08,0.4,440.08
2/03/2020,Monday,WTB,Within_Treatment,Pin.Bro,male,a10088,,1920.22,4.36414,88.56,99.44,252.08,2.32,440.08
2/03/2020,Monday,WTB,Within_Treatment,Whi.Bla,male,a10152,,1347.47,3.06244,0,0,440.08,0.88,440.08
2/03/2020,Monday,WTB,Within_Treatment,Pur.Pur,female,a10081,,1905.09,4.33054,57.76,77.68,304.64,0.32,440.08
2/03/2020,Monday,WTB,Within_Treatment,Whi.Pin,female,a10154,,1611.77,3.66311,69.68,105.36,265.04,0.72,440.08
2/03/2020,Monday,WTB,Within_Treatment,Ora.Pin,female,a10063,,1524.63,3.46507,305.92,55.2,78.96,0.24,440.08
2/03/2020,Monday,WTB,Within_Treatment,Pin.Red,male,a10089,,1668.31,3.79162,50.16,77.36,312.56,1.44,440.08
2/03/2020,Monday,WTB,Within_Treatment,Pur.Gre,male,a10074,,1722.72,3.91526,86.88,120.88,232.32,0.24,440.08
2/03/2020,Monday,WTB,Within_Treatment,_.Yel,male,a10096,,2020.47,4.59197,339.28,55.68,45.12,0.8,440.08
2/03/2020,Monday,WTB,Within_Treatment,Red.Bro,male,a10169,,2872.03,6.52733,70.64,143.36,226.08,0.08,440.08
2/03/2020,Monday,WTB,Within_Treatment,Whi.Ora,female,a10160,,991.45,2.25329,0,9.12,430.96,2.16,440.08
2/03/2020,Monday,WTB,Within_Treatment,Red._,male,a10155,,1146.64,2.60601,0,2.16,437.92,63.52,440.08
2/03/2020,Monday,WTB,Within_Treatment,Pur.Red,female,a10076,,1141.14,2.59349,97.84,59.04,283.2,128.08,440.08
2/03/2020,Monday,WTB,Within_Treatment,Blu.Ora,female,a10059,,945.861,2.14968,0,0,440.08,110.4,440.08
2/03/2020,Monday,WTB,Within_Treatment,Gre._,male,a10037,,1880.12,4.273,157.84,151.92,130.32,0.24,440.08
2/03/2020,Monday,WTB,Within_Treatment,Gre.Bro,male,a10044,,3202.08,7.27746,248,124.88,67.2,0.08,440.08
2/03/2020,Monday,PA,Paternal,Whi.Bro,female,a9929,,973.144,2.21169,18.08,45.84,376.16,109.6,440.08
2/03/2020,Monday,PA,Paternal,Whi.Red,male,a9931,,644.333,1.46439,0,0,440.08,32.8,440.08
2/03/2020,Monday,PA,Paternal,Blu.Bla,male,a9984,,2414.39,5.48726,106.4,117.28,216.4,0.88,440.08
2/03/2020,Monday,PA,Paternal,Ora.Pin,female,a9961,,1631.69,3.70838,192.24,94.16,153.68,0.08,440.08
2/03/2020,Monday,PA,Paternal,Gre.Gre,female,a9874,,2229.71,5.06753,83.52,84,272.56,0.48,440.08
2/03/2020,Monday,PA,Paternal,Bla.Gre,female,a9922,,2319.61,5.27185,117.84,74.88,247.36,0.16,440.08
2/03/2020,Monday,PA,Paternal,Pin.Blu,male,a9960,,926.852,2.10648,17.68,34.08,388.32,10.72,440.08
2/03/2020,Monday,PA,Paternal,Gre.Pin,male,a9880,,2134.49,4.85111,95.68,71.44,272.96,0.24,440.08
2/03/2020,Monday,PA,Paternal,Bla.Pin,male,a9919,,2709.31,6.15752,149.12,119.2,171.76,0,440.08
2/03/2020,Monday,PA,Paternal,_.Bro,female,a9917,,2143.41,4.87139,191.6,74.48,174,0.32,440.08
2/03/2020,Monday,PA,Paternal,Ora.Ora,female,a9962,,2757.02,6.26595,230.24,77.12,132.72,0,440.08
2/03/2020,Monday,PA,Paternal,Gre.Blu,male,a9881,,12.2474,0.0278349,0,0,440.08,440,440.08
2/03/2020,Monday,PA,Paternal,Pin.Pur,female,a9957,,1487.64,3.381,56.08,51.44,332.56,0.88,440.08
2/03/2020,Monday,PA,Paternal,Pin.Yel,male,a9956,,2500.38,5.68268,59.52,89.68,290.88,0.24,440.08
2/03/2020,Monday,PA,Paternal,Gre.Ora,female,a9876,,2295.99,5.21817,92.32,98.24,249.52,0.56,440.08
2/03/2020,Monday,PA,Paternal,Bla.Red,female,a9921,,1642.16,3.73218,0,5.84,434.24,0.64,440.08
2/03/2020,Monday,PA,Paternal,_.Gre,male,a9873,,1853.32,4.21209,80.88,66.96,292.24,0.56,440.08
2/03/2020,Monday,PA,Paternal,Bla.Ora,female,a9887,,1379.04,3.13419,22.48,85.92,331.68,0.96,440.08
2/03/2020,Monday,PA,Paternal,Pin.Red,female,a9958,,1975.97,4.49085,91.28,102,246.8,0.64,440.08
2/03/2020,Monday,PA,Paternal,Whi.Whi,male,a9926,,1418.27,3.22334,40.16,50.4,349.52,74.08,440.08
2/03/2020,Monday,WCA,Within_Control,Red.Pin,female,a9673,,2479.94,5.63623,127.76,88.24,224.08,0.08,440.08
2/03/2020,Monday,WCA,Within_Control,Whi.Yel,female,a9599,,2538.11,5.76844,170.08,104.48,165.52,0.16,440.08
2/03/2020,Monday,WCA,Within_Control,Red.Gre,male,a9680,,2571.68,5.84473,160.48,97.52,182.08,0.08,440.08
