Arena,Trial,Water,Water_Time,Date,Day,Group,Tank,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
6,18,water3,5,7/02/2020,Friday1,MA,Maternal,Whi.Ora,female,a9839,NA,36.6685,0,0,440.08,430.96,440.08,,0
1,19,water3,6,7/02/2020,Friday1,MA,Maternal,Pin.Ora,male,a9858,NA,805.875,0,20.24,419.84,11.68,440.08,,0
2,19,water3,6,7/02/2020,Friday1,MA,Maternal,Gre.Whi,female,a9809,NA,1475.26,47.84,42.4,349.84,1.52,440.08,324.4,8
3,19,water3,6,7/02/2020,Friday1,MA,Maternal,Red.Yel,female,a9761,NA,1634.72,38.72,54,347.36,0.8,440.08,345.04,6
4,19,water3,6,7/02/2020,Friday1,MA,Maternal,Bro.Gre,female,a9796,NA,1752.87,66.96,104.88,268.24,1.04,440.08,143.04,15
5,19,water3,6,7/02/2020,Friday1,MA,Maternal,Red.Gre,female,a9758,NA,2012.56,48,82.64,308.88,1.6,439.52,167.84,16
6,19,water3,6,7/02/2020,Friday1,MA,Maternal,Red.Bro,male,a9760,NA,1822.69,17.76,59.84,362.48,0.4,440.08,363.68,4
1,20,water3,7,7/02/2020,Friday1,MA,Maternal,Red._,female,a9848,NA,375.688,0,0,440.08,107.44,440.08,,0
2,20,water3,7,7/02/2020,Friday1,MA,Maternal,Gre.Blu,male,a9808,NA,334.403,0,0,440.08,283.2,440.08,,0
3,20,water3,7,7/02/2020,Friday1,MA,Maternal,_.Yel,male,a9764,NA,1913.58,30.56,121.36,288.16,0.08,440.08,267.44,9
4,20,water3,7,7/02/2020,Friday1,MA,Maternal,Bro.Yel,female,a9794,NA,662.993,0,0,440.08,2.16,440.08,,0
5,20,water3,7,7/02/2020,Friday1,MA,Maternal,Blu.Yel,female,a9845,NA,2281,151.92,89.52,198.64,0.4,440.08,107.04,17
6,20,water3,7,7/02/2020,Friday1,MA,Maternal,_.Bla,male,a9800,NA,890.941,0,0,440.08,166.8,440.08,,0
1,21,water3,7,7/02/2020,Friday1,MA,Maternal,Red.Red,male,a9754,NA,2220.65,44.72,211.28,184.08,0.08,440.08,17.44,15
2,21,water3,7,7/02/2020,Friday1,MA,Maternal,Bro.Pin,male,a9793,NA,1307.41,14.72,141.04,284.32,0.64,440.08,176.64,3
3,21,water4,1,7/02/2020,Friday1,WTB,Within Treatment,Ora.Ora,female,a10060,NA,2088.34,87.84,89.76,262.48,1.44,440.08,184.56,17
4,21,water4,1,7/02/2020,Friday1,WTB,Within Treatment,Gre.Bro,male,a10044,NA,1589.64,11.36,82.64,346.08,31.52,440.08,214.88,4
5,21,water4,1,7/02/2020,Friday1,WTB,Within Treatment,_.Blu,female,a10040,NA,2281.44,64,113.2,262.88,0.08,440.08,163.12,17
6,21,water4,1,7/02/2020,Friday1,WTB,Within Treatment,Whi.Bro,female,a10159,NA,2238.86,216.32,99.92,123.84,0.32,440.08,27.44,26
1,22,water4,2,7/02/2020,Friday1,WTB,Within Treatment,Red._,male,a10155,NA,177.122,0,0,440.08,385.84,440.08,,0
2,22,water4,2,7/02/2020,Friday1,WTB,Within Treatment,Pur.Red,female,a10076,NA,1826.83,78.08,65.52,296.48,0.48,440.08,218.16,12
3,22,water4,2,7/02/2020,Friday1,WTB,Within Treatment,Blu.Ora,female,a10059,NA,548.331,0,0,440.08,126.88,440.08,,0
4,22,water4,2,7/02/2020,Friday1,WTB,Within Treatment,Whi.Ora,female,a10160,NA,2093.68,127.44,89.28,223.36,0.4,440.08,112.16,25
5,22,water4,2,7/02/2020,Friday1,WTB,Within Treatment,Ora.Pin,female,a10063,NA,1655.56,242,135.84,62.24,0,440.08,0,40
6,22,water4,2,7/02/2020,Friday1,WTB,Within Treatment,Whi.Bla,male,a10152,NA,1126.92,0,0,440.08,1.92,440.08,,0
1,23,water4,3,7/02/2020,Friday1,WTB,Within Treatment,Pur.Gre,male,a10074,NA,728.281,0,0,440.08,14.08,440.08,,0
2,23,water4,3,7/02/2020,Friday1,WTB,Within Treatment,Pin.Bro,male,a10088,NA,11.6262,0,0,440.08,435.04,440.08,,0
3,23,water4,3,7/02/2020,Friday1,WTB,Within Treatment,Pur.Pur,female,a10081,NA,1983.24,88.32,121.28,230.48,0.08,440.08,38.64,18
4,23,water4,3,7/02/2020,Friday1,WTB,Within Treatment,Gre.Pur,male,a10043,NA,1765.64,55.76,71.12,313.2,0.56,440.08,223.76,8
5,23,water4,3,7/02/2020,Friday1,WTB,Within Treatment,Red.Bro,male,a10169,NA,2332.41,62.4,92.96,284.72,0.16,440.08,190.32,15
6,23,water4,3,7/02/2020,Friday1,WTB,Within Treatment,Yel.Yel,female,a10097,NA,1939.36,109.68,71.52,258.88,0.88,440.08,89.52,14
1,24,water4,4,7/02/2020,Friday1,WTB,Within Treatment,Pin.Red,male,a10089,NA,2194.84,42.48,68,329.36,0.64,440.08,109.92,16
2,24,water4,4,7/02/2020,Friday1,WTB,Within Treatment,_.Yel,male,a10096,NA,869.797,0,0,440.08,109.28,440.08,,0
3,24,water4,4,7/02/2020,Friday1,WTB,Within Treatment,Whi.Pin,female,a10154,NA,1239.74,2.16,26.96,410.96,0.96,440.08,427.6,1
4,24,water4,4,7/02/2020,Friday1,WTB,Within Treatment,Gre._,male,a10037,NA,3061.26,237.28,131.84,70.96,0,440.08,14.4,41
5,24,water4,4,7/02/2020,Friday1,PA,Paternal,Gre.Ora,female,a9876,NA,1932.48,54.24,79.76,306.08,1.28,440.08,173.36,18
6,24,water4,4,7/02/2020,Friday1,PA,Paternal,_.Bro,female,a9917,NA,2088.11,64.4,67.12,308.56,0.48,440.08,161.2,19
1,25,water4,5,7/02/2020,Friday1,PA,Paternal,Blu.Bla,male,a9984,NA,576.332,0,0,440.08,226.16,440.08,,0
2,25,water4,5,7/02/2020,Friday1,PA,Paternal,Gre.Blu,male,a9881,NA,18.0941,0,0,440.08,432.08,440.08,,0
3,25,water4,5,7/02/2020,Friday1,PA,Paternal,Pin.Yel,male,a9956,NA,2545.8,52.24,111.2,276.64,0.72,440.08,106,27
4,25,water4,5,7/02/2020,Friday1,PA,Paternal,Whi.Red,male,a9931,NA,67.672,0,0,440.08,413.2,440.08,,0
5,25,water4,5,7/02/2020,Friday1,PA,Paternal,Whi.Bro,female,a9929,NA,847.609,58.8,2.96,377.6,41.28,439.36,0.72,1
6,25,water4,6,7/02/2020,Friday1,PA,Paternal,Bla.Gre,female,a9922,NA,1111.78,0,2.16,437.92,52.88,440.08,,0
1,26,water4,6,7/02/2020,Friday1,PA,Paternal,Pin.Blu,male,a9960,NA,2094.56,17.04,86.08,336.96,8.96,440.08,340.16,8
2,26,water4,6,7/02/2020,Friday1,PA,Paternal,Ora.Ora,female,a9962,NA,2010.22,31.68,72.16,336.24,10.08,440.08,298.88,9
3,26,water4,6,7/02/2020,Friday1,PA,Paternal,Gre.Gre,female,a9874,NA,1519.14,40.64,53.84,345.6,0.48,440.08,331.04,7
4,26,water4,6,7/02/2020,Friday1,PA,Paternal,Bla.Ora,female,a9887,NA,173.965,0,0,440.08,390.08,440.08,,0
5,26,water4,6,7/02/2020,Friday1,PA,Paternal,Pin.Red,female,a9958,NA,1195.62,0,2,438.08,51.36,440.08,,0
6,26,water4,6,7/02/2020,Friday1,PA,Paternal,Bla.Red,female,a9921,NA,582.514,0,0,440.08,52.8,440.08,,0
1,27,water4,7,7/02/2020,Friday1,PA,Paternal,Whi.Whi,male,a9926,NA,2088.86,46.96,101.04,292.08,0.32,440.08,118.72,14
2,27,water4,7,7/02/2020,Friday1,PA,Paternal,Gre.Pin,male,a9880,NA,672.782,0,0,440.08,64,440.08,,0
3,27,water4,7,7/02/2020,Friday1,PA,Paternal,Bla.Pin,male,a9919,NA,1915.43,43.36,91.92,304.8,55.2,440.08,190.48,17
4,27,water4,7,7/02/2020,Friday1,PA,Paternal,Ora.Pin,female,a9961,NA,33.678,0,0,440.08,428.48,440.08,,0
5,27,water4,7,7/02/2020,Friday1,PA,Paternal,_.Gre,male,a9873,NA,1861.57,51.6,88.8,299.68,0.32,440.08,220.08,10
6,27,water4,7,7/02/2020,Friday1,PA,Paternal,Pin.Pur,female,a9957,NA,2072.16,100.32,76,263.76,1.12,440.08,181.36,21
1,1,water1,1,14/02/2020,Friday2,PA,Paternal,Bla.Pin,male,a9919,water change after every 2 tanks have been run,2477.15,36.72,56.32,340.6,0.28,433.64,300.6,30
2,1,water1,1,14/02/2020,Friday2,PA,Paternal,Whi.Bro,female,a9929,,1039.3,4.52,16.32,359.92,0.52,380.76,204.28,6
3,1,water1,1,14/02/2020,Friday2,PA,Paternal,Bla.Ora,female,a9887,,1687.59,67.92,144.16,227.96,0.28,440.04,146.88,10
4,1,water1,1,14/02/2020,Friday2,PA,Paternal,Gre.Gre,female,a9874,,2341.52,105.64,94.64,234.48,0.12,434.76,0,39
5,1,water1,1,14/02/2020,Friday2,PA,Paternal,Ora.Ora,female,a9962,,3142.12,53.32,33.04,353.28,0,439.64,352,7
6,1,water1,1,14/02/2020,Friday2,PA,Paternal,Pin.Blu,male,a9960,,1235.61,0,9.08,428.44,104.44,437.52,,0
1,2,water1,2,14/02/2020,Friday2,PA,Paternal,_.Bro,female,a9917,,1678.34,44.16,81.88,310.4,0.16,436.44,114.72,9
2,2,water1,2,14/02/2020,Friday2,PA,Paternal,Gre.Ora,female,a9876,,1969.89,37.16,63,339.6,0.16,439.76,55.64,9
3,2,water1,2,14/02/2020,Friday2,PA,Paternal,Bla.Red,female,a9921,,1413.86,22.96,11.44,404.92,1.16,439.32,182.4,2
4,2,water1,2,14/02/2020,Friday2,PA,Paternal,Ora.Pin,female,a9961,,2497.28,315.48,109.24,14.88,0.04,439.6,2.88,42
5,2,water1,2,14/02/2020,Friday2,PA,Paternal,Whi.Whi,male,a9926,,658.686,0,1.32,438.72,25.6,440.04,,0
6,2,water1,2,14/02/2020,Friday2,PA,Paternal,Blu.Bla,male,a9984,,847.159,0,0,439.92,0.84,439.92,,0
1,3,water1,3,14/02/2020,Friday2,PA,Paternal,Pin.Pur,female,a9957,,1278.19,18.64,91.32,300.6,0.4,410.56,33.84,17
2,3,water1,3,14/02/2020,Friday2,PA,Paternal,Bla.Gre,female,a9922,,1950.34,7.44,139.32,283,0.16,429.76,101.44,8
3,3,water1,3,14/02/2020,Friday2,PA,Paternal,Pin.Red,female,a9958,,1952.7,58.72,137.88,243.4,0.32,440,159.64,14
4,3,water1,3,14/02/2020,Friday2,PA,Paternal,_.Gre,male,a9873,,2222.57,158.8,105.52,175.08,0.24,439.4,19.64,22
5,3,water1,3,14/02/2020,Friday2,PA,Paternal,Gre.Blu,male,a9881,,2239.33,76.96,99.84,263.24,0.4,440.04,247.8,9
6,3,water1,3,14/02/2020,Friday2,PA,Paternal,Gre.Pin,male,a9880,,1449.77,8.88,39.72,391.44,0.32,440.04,175.44,3
1,4,water1,4,14/02/2020,Friday2,PA,Paternal,Pin.Yel,male,a9956,,1856.6,68.88,145.8,157.52,0.12,372.2,75.56,93
2,4,water1,4,14/02/2020,Friday2,PA,Paternal,Whi.Red,male,a9931,,991.5,0,0,440.04,3.44,440.04,,0
